name             	int
name             	abc
syntax             	(
syntax             	)
syntax             	{
reserved_word             	return
integer             	0
syntax             	;
reserved_word             	if
syntax             	(
name             	a
operation             	==
integer             	7
syntax             	)
syntax             	{
name             	cout
syntax             	<
syntax             	<
float             	78.987
operation             	++
operation             	+
integer             	9
syntax             	;
syntax             	}
syntax             	}
